Nombre d'accusatifs = 291
akk_riao-ud-test, Nearest=Acc, Distance=0.00354, Self=0.00489, Diff=0.00135
orv_birchbark-ud-train, Nearest=Dat, Distance=0.00518, Self=0.00655, Diff=0.00137
orv_birchbark-ud-dev, Nearest=Dat, Distance=0.00513, Self=0.00792, Diff=0.00279
orv_birchbark-ud-test, Nearest=Dat, Distance=0.00464, Self=0.00728, Diff=0.00264
is_icepahc-ud-dev, Nearest=Acc, Distance=0.00354, Self=0.00522, Diff=0.00168
is_icepahc-ud-train, Nearest=Acc, Distance=0.00418, Self=0.00594, Diff=0.00175
is_icepahc-ud-test, Nearest=Acc, Distance=0.00307, Self=0.00469, Diff=0.00163
de_lit-ud-test, Nearest=Gen, Distance=0.00387, Self=0.00387, Diff=0.00000
ltg_cairo-ud-test, Nearest=Acc, Distance=0.00494, Self=0.00612, Diff=0.00118
ru_poetry-ud-test, Nearest=Acc, Distance=0.00169, Self=0.00251, Diff=0.00082
ru_poetry-ud-dev, Nearest=Acc, Distance=0.00211, Self=0.00342, Diff=0.00131
ru_poetry-ud-train, Nearest=Acc, Distance=0.00155, Self=0.00209, Diff=0.00054
fo_farpahc-ud-test, Nearest=Acc, Distance=0.00335, Self=0.00441, Diff=0.00105
fo_farpahc-ud-train, Nearest=Acc, Distance=0.00322, Self=0.00426, Diff=0.00104
fo_farpahc-ud-dev, Nearest=Acc, Distance=0.00258, Self=0.00367, Diff=0.00108
is_modern-ud-dev, Nearest=Gen, Distance=0.00114, Self=0.00114, Diff=0.00000
is_modern-ud-train, Nearest=Acc, Distance=0.00201, Self=0.00314, Diff=0.00113
is_modern-ud-test, Nearest=Acc, Distance=0.00270, Self=0.00375, Diff=0.00105
wbp_ufal-ud-test, Nearest=Gen, Distance=0.00516, Self=0.00516, Diff=0.00000
da_ddt-ud-train, Nearest=Gen, Distance=0.00133, Self=0.00133, Diff=0.00000
da_ddt-ud-test, Nearest=Gen, Distance=0.00178, Self=0.00178, Diff=0.00000
da_ddt-ud-dev, Nearest=Gen, Distance=0.00145, Self=0.00145, Diff=0.00000
